VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
1,1,106,1-67-57-14-90-8-64-71-31-77-1,9,18-9-12-12-8-12-12-11-12,91.582157,4.030905,49759.638631
2,1,24,1-44-55-1,2,12-12,23.357357,1.028053,12690.830507
3,1,101,1-41-6-30-13-85-87-89-26-1,8,12-11-12-8-12-10-23-13,92.811393,4.085009,50427.523671
4,1,88,1-62-15-3-73-70-53-35-1,7,12-12-16-12-12-12-12,65.050558,2.863141,35344.136408
5,1,72,1-39-58-76-46-75-79-1,6,12-12-12-12-12-12,95.366608,4.197474,51815.856775
6,1,72,1-32-18-22-33-38-61-1,6,12-12-12-12-12-12,53.03544,2.334306,28815.922197
7,1,72,1-37-27-17-29-36-23-1,6,12-12-12-12-12-12,80.715503,3.552619,43855.423477
8,1,120,1-81-48-24-40-60-54-68-52-45-19-1,10,12-12-12-12-12-12-12-12-12-12,99.821677,4.39356,54236.444558
9,1,72,1-69-50-78-12-63-47-1,6,12-12-12-12-12-12,48.33711,2.127514,26263.162954
10,1,131,1-42-21-84-28-80-20-5-74-51-1-34-1,11,12-15-12-12-5-12-14-12-12-13-12,149.975987,6.601056,81486.953163
11,1,101,1-9-11-66-10-86-59-56-1,7,10-11-12-25-19-12-12,73.926015,3.253786,40166.468157
12,1,115,1-72-16-7-49-4-83-88-43-65-1,9,12-12-9-12-22-12-12-12-12,123.43897,5.433053,67068.506839
13,1,39,1-25-82-2-1,3,12-12-15,61.114476,2.689898,33205.531968
